BATCH_ID,ASSET_ID,ITEM,OUTPUT,REVIEW_STATUS,NOTE,NEXT_STEP
B02,HFM-A000233,document (text-layer),extracted-text/,AUTO_EXTRACTED,direct text extraction done; metadata/structure heuristic,expert review of title/author/year
B02,HFM-A000258,document (text-layer),extracted-text/,AUTO_EXTRACTED,direct text extraction done; metadata/structure heuristic,expert review of title/author/year
B02,HFM-A000282,document (text-layer),extracted-text/,AUTO_EXTRACTED,direct text extraction done; metadata/structure heuristic,expert review of title/author/year
B02,HFM-A000307,document (text-layer),extracted-text/,AUTO_EXTRACTED,direct text extraction done; metadata/structure heuristic,expert review of title/author/year
B02,HFM-A000331,document (text-layer),extracted-text/,AUTO_EXTRACTED,direct text extraction done; metadata/structure heuristic,expert review of title/author/year
B02,HFM-A000356,document (text-layer),extracted-text/,AUTO_EXTRACTED,direct text extraction done; metadata/structure heuristic,expert review of title/author/year
B02,HFM-A000380,document (text-layer),extracted-text/,AUTO_EXTRACTED,direct text extraction done; metadata/structure heuristic,expert review of title/author/year
B02,HFM-A000405,document (text-layer),extracted-text/,AUTO_EXTRACTED,direct text extraction done; metadata/structure heuristic,expert review of title/author/year
B02,HFM-A000429,document (text-layer),extracted-text/,AUTO_EXTRACTED,direct text extraction done; metadata/structure heuristic,expert review of title/author/year
B02,HFM-A000454,document (text-layer),extracted-text/,AUTO_EXTRACTED,direct text extraction done; metadata/structure heuristic,expert review of title/author/year
B02,HFM-A000478,document (text-layer),extracted-text/,AUTO_EXTRACTED,direct text extraction done; metadata/structure heuristic,expert review of title/author/year
B02,HFM-A000622,document (scanned),-,PARTIAL,full-page OCR deferred; sampled pages only (1 total pages),scale-phase full OCR
B02,HFM-A000627,document (scanned),-,PARTIAL,full-page OCR deferred; sampled pages only (1 total pages),scale-phase full OCR
B02,HFM-A000633,document (scanned),-,PARTIAL,full-page OCR deferred; sampled pages only (7 total pages),scale-phase full OCR
B02,HFM-A000638,document (scanned),-,PARTIAL,full-page OCR deferred; sampled pages only (1 total pages),scale-phase full OCR
B02,HFM-A000644,document (scanned),-,PARTIAL,full-page OCR deferred; sampled pages only (1 total pages),scale-phase full OCR
B02,HFM-A000649,document (scanned),-,PARTIAL,full-page OCR deferred; sampled pages only (1 total pages),scale-phase full OCR
B02,HFM-A000654,document (scanned),-,PARTIAL,full-page OCR deferred; sampled pages only (2 total pages),scale-phase full OCR
B02,HFM-A000660,document (scanned),-,PARTIAL,full-page OCR deferred; sampled pages only (1 total pages),scale-phase full OCR
B02,HFM-A000665,document (scanned),-,PARTIAL,full-page OCR deferred; sampled pages only (3 total pages),scale-phase full OCR
B02,HFM-A000671,document (scanned),-,PARTIAL,full-page OCR deferred; sampled pages only (1 total pages),scale-phase full OCR
B02,HFM-A000676,document (scanned),-,PARTIAL,full-page OCR deferred; sampled pages only (1 total pages),scale-phase full OCR
B02,HFM-A000685,document (scanned),-,PARTIAL,full-page OCR deferred; sampled pages only (1 total pages),scale-phase full OCR
