ITEM_ID,PRIORITY,CLASSIFICATION
HFM-A000585,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000586,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000587,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000588,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000589,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000590,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000591,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000592,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000593,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000594,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000595,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000596,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000597,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000598,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000599,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000600,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000601,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000602,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000603,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000604,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000605,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000606,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000607,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000608,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000609,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000610,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000611,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000612,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000613,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000614,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000615,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000616,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000617,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000618,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000619,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000620,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000621,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000622,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000627,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000633,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000638,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000644,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000649,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000654,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000660,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000665,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000671,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000676,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000685,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
EVIDENCE-001,R0_CORE_FACT,REVIEW_FIRST
EVIDENCE-002,R0_CORE_FACT,REVIEW_FIRST
EVIDENCE-003,R0_CORE_FACT,REVIEW_FIRST
EVIDENCE-010,R0_CORE_FACT,REVIEW_FIRST
