HERITAGE_ID,NAME,CATEGORY,SOURCE_ASSET_ID,REVIEW_STATUS
HERITAGE-HFM-A000674,静宁县,06 媒体报道,HFM-A000674,AUTO_EXTRACTED
HERITAGE-HFM-A000675,中央电视台拍摄函,06 媒体报道,HFM-A000675,AUTO_EXTRACTED
HERITAGE-HFM-A000676,央视图片证明材料,06 媒体报道,HFM-A000676,AUTO_EXTRACTED
HERITAGE-HFM-A000677,1、“刘君奇名中医工作室”成立及运行相关证明材料（崆峒区中医医院）,07 带徒传技与工作室成果,HFM-A000677,AUTO_EXTRACTED
HERITAGE-HFM-A000678,2、“刘君奇中医工作室”相关证明材料（灵台县皇甫谧中医院）,07 带徒传技与工作室成果,HFM-A000678,AUTO_EXTRACTED
HERITAGE-HFM-A000679,3、传承工作室及国医馆名单及基本情况,07 带徒传技与工作室成果,HFM-A000679,AUTO_EXTRACTED
HERITAGE-HFM-A000680,4、带教师承学生名单带教基医生名单,07 带徒传技与工作室成果,HFM-A000680,AUTO_EXTRACTED
HERITAGE-HFM-A000681,师承教育拜师大会新闻稿,07 带徒传技与工作室成果,HFM-A000681,AUTO_EXTRACTED
HERITAGE-HFM-A000682,师承教育教学大纲,07 带徒传技与工作室成果,HFM-A000682,AUTO_EXTRACTED
HERITAGE-HFM-A000683,师承教育讲座(3),07 带徒传技与工作室成果,HFM-A000683,AUTO_EXTRACTED
HERITAGE-HFM-A000684,皇甫谧针灸学院中医师承制教学实施办法(3),07 带徒传技与工作室成果,HFM-A000684,AUTO_EXTRACTED
HERITAGE-HFM-A000685,1、甘肃医学院事业单位法人证书复印件,08申报单位资质,HFM-A000685,AUTO_EXTRACTED
HERITAGE-HFM-A000686,2、不动产证明,08申报单位资质,HFM-A000686,AUTO_EXTRACTED
HERITAGE-HFM-A000687,1、甘肃医学院 职业技能等级认定机构备案信息采集表、认定函、承诺书,09职业技能等级认定资质,HFM-A000687,AUTO_EXTRACTED
HERITAGE-HFM-A000688,2、职业技能等级认定考评员名单,09职业技能等级认定资质,HFM-A000688,AUTO_EXTRACTED
HERITAGE-HFM-A000689,场地及设施设备,10场地及设施设备,HFM-A000689,AUTO_EXTRACTED
