BATCH_ID,ASSET_ID,SOURCE_PATH,SHA256,FILE_TYPE,CONTENT_CATEGORY,CONTENT_OBJECT_TYPE,SELECTION_REASON,PROCESSING_METHOD,EXPECTED_OUTPUT,SOURCE_STATUS,RIGHTS_STATUS
B01,HFM-A000003,hfmzl/皇甫谧/其传/其传.docx,8d9062878e9663411f7aad078d84cdafc6cf71d7c4cb7dd9a6ebb3759459bf51,DOCX,PERSON,DOCUMENT,皇甫谧核心文档·其传（人物资料搜集框架）,DOCX_TEXT_EXTRACTION,extracted-text + facts,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B01,HFM-A000004,hfmzl/皇甫谧/其言/其言.docx,6d5cf0613101ab3546813fed4acb7e816a15af9b1cc74e0b5446b02891f2d8ee,DOCX,PERSON,DOCUMENT,皇甫谧核心文档·其言（存世文章与思想文本框架）,DOCX_TEXT_EXTRACTION,extracted-text + facts,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B01,HFM-A000005,hfmzl/皇甫谧/后论/后论.docx,6b8dad0e27bf4e762d7d4df120f4c0e3fea28d40d9712fa67618d869e6da90a5,DOCX,PERSON,DOCUMENT,皇甫谧核心文档·后论（后世评价/影像/文献/设施汇总）,DOCX_TEXT_EXTRACTION,extracted-text + facts,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B01,HFM-A000009,hfmzl/皇甫谧画像.jpeg,c0e68becdf68786ae5fe1d81e2f229131cc90d7c0477cd35ea19b793bca5e9ac,JPEG,IMAGE,PORTRAIT,皇甫谧画像（代表画像资产）,IMAGE_METADATA+DERIVATIVES,derivatives+meta,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B01,HFM-A000007,hfmzl/皇甫谧/皇甫谧电影/《针灸鼻祖皇甫谧》第1集 大器晚成.mpg,14584639fef88bd95060e84fe4a80611385bf3b5fdbd6f0796470f0f350a97f1,MPG,VIDEO,VIDEO_FOOTAGE,客户视频1：电视片《针灸鼻祖皇甫谧》第1集,VIDEO_PROBE+SEGMENT_ANALYSIS,segments+probe,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B01,HFM-A000008,hfmzl/皇甫谧/皇甫谧电影/皇甫谧一.mpg,1395a8b57ee998f71979dd5ba47c4ff50dad8fd121b27567e561e9f93085e0c0,MPG,VIDEO,VIDEO_FOOTAGE,客户视频2：皇甫谧纪录素材,VIDEO_PROBE+SEGMENT_ANALYSIS,segments+probe,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B01,HFM-A000542,hfmzl/针灸甲乙经/论著/《针灸甲乙经》医统正脉全书明万历29年吴勉学（1601）/《针灸甲乙经》医统正脉全书1.pdf,222f8720504c492b7b4c71596fa3c64ac2fdeff8ca3ab2a8a9fc99a89f96df07,PDF,JIAYI,BOOK_EDITION_PDF,甲乙经代表版本·医统正脉全书册1,OCR_PAGE_SAMPLE,ocr+page-map+structure,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B01,HFM-A000543,hfmzl/针灸甲乙经/论著/《针灸甲乙经》医统正脉全书明万历29年吴勉学（1601）/《针灸甲乙经》医统正脉全书2.pdf,be3380bbe36d2289200d7af7ff1dd5c900d6eb032bee6ddac6a469cb91fa4edb,PDF,JIAYI,BOOK_EDITION_PDF,甲乙经代表版本·医统正脉全书册2,OCR_PAGE_SAMPLE,ocr+page-map+structure,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B01,HFM-A000544,hfmzl/针灸甲乙经/论著/《针灸甲乙经》医统正脉全书明万历29年吴勉学（1601）/《针灸甲乙经》医统正脉全书3.pdf,de0bc2257e05115bb26a0a3a1404fc96c2fffbaf9ef500386b8d91ac0257da1b,PDF,JIAYI,BOOK_EDITION_PDF,甲乙经代表版本·医统正脉全书册3,OCR_PAGE_SAMPLE,ocr+page-map+structure,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B01,HFM-A000545,hfmzl/针灸甲乙经/论著/《针灸甲乙经》医统正脉全书明万历29年吴勉学（1601）/《针灸甲乙经》医统正脉全书4.pdf,a423797779bd2827dc3899fc16b4eda2fe2c87ed77cf4026eb8ef343ecc891b5,PDF,JIAYI,BOOK_EDITION_PDF,甲乙经代表版本·医统正脉全书册4,OCR_PAGE_SAMPLE,ocr+page-map+structure,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B01,HFM-A000546,hfmzl/针灸甲乙经/论著/《针灸甲乙经》医统正脉全书明万历29年吴勉学（1601）/《针灸甲乙经》医统正脉全书5.pdf,aec429d4989f19b97d6e48fb642b4cb48e7a13692a0227feb78880bdcab7513a,PDF,JIAYI,BOOK_EDITION_PDF,甲乙经代表版本·医统正脉全书册5,OCR_PAGE_SAMPLE,ocr+page-map+structure,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
