SOURCE_TERM,TARGET_TERM,RELATION_TYPE
合谷,手阳明大肠经,located_in
足三里,足阳明胃经,located_in
三阴交,足太阴脾经,located_in
内关,手厥阴心包经,located_in
曲池,手阳明大肠经,located_in
