REVIEW_TYPE,ASSET_ID,REASON,OUTPUT,STATUS_NOTE
OCR_REVIEW,HFM-A000575,page 67 low OCR chars=0,corpus/raw-ocr/HFM-A000575_p067_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000577,page 1 low OCR chars=3,corpus/raw-ocr/HFM-A000577_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000578,page 1 low OCR chars=19,corpus/raw-ocr/HFM-A000578_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000579,page 1 low OCR chars=34,corpus/raw-ocr/HFM-A000579_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000580,page 253 low OCR chars=14,corpus/raw-ocr/HFM-A000580_p253_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000582,page 1 low OCR chars=32,corpus/raw-ocr/HFM-A000582_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000582,page 232 low OCR chars=53,corpus/raw-ocr/HFM-A000582_p232_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000583,page 1 low OCR chars=43,corpus/raw-ocr/HFM-A000583_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000583,page 246 low OCR chars=57,corpus/raw-ocr/HFM-A000583_p246_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000584,page 512 low OCR chars=16,corpus/raw-ocr/HFM-A000584_p512_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000585,page 1 low OCR chars=36,corpus/raw-ocr/HFM-A000585_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000589,page 1 low OCR chars=12,corpus/raw-ocr/HFM-A000589_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000590,page 1 low OCR chars=26,corpus/raw-ocr/HFM-A000590_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000590,page 113 low OCR chars=59,corpus/raw-ocr/HFM-A000590_p113_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000591,page 1 low OCR chars=40,corpus/raw-ocr/HFM-A000591_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000591,page 113 low OCR chars=45,corpus/raw-ocr/HFM-A000591_p113_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000592,page 1 low OCR chars=22,corpus/raw-ocr/HFM-A000592_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000593,page 1 low OCR chars=42,corpus/raw-ocr/HFM-A000593_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000593,page 115 low OCR chars=58,corpus/raw-ocr/HFM-A000593_p115_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000595,page 1 low OCR chars=39,corpus/raw-ocr/HFM-A000595_p001_raw.txt,LOW_OCR_OUTPUT
